tweetid	tweetid-href	tweetername	tweeterhandle	tweetbody	numberoflikes	numberofretweets	timeoftweet	
1. feb.	https://twitter.com/KimRobin75/status/826733835308134400	Kim Robin Graahede	@KimRobin75	#ultratwitteragf AGFs start-11'er mod Rijeka: Jovanovic-Mikanovic,Rask,Juel, Juelsgård-Sverrisson-Ikonomidis,Amini,Spelmann,Bundu-Duncan	3	0	1485943680	
1. feb.	https://twitter.com/mufcdk/status/826733483246682113	Martin Hansen	@mufcdk	Oprejsning til JA ovenpå urimelig kritik. Elez VILLE hjem #ultratwitteragf #sldkhttps://twitter.com/KimRobin75/status/826702951095869440 …	7	0	1485943597	
1. feb.	https://twitter.com/KimRobin75/status/826704153766457344	Kim Robin Graahede	@KimRobin75	#ultratwitteragf Og lidt om Juelsgårds knæ http://stiften.dk/agf/AGF-Juelsgaard-melder-sig-klar/artikel/434561 …	2	0	1485936604	
1. feb.	https://twitter.com/Allanskoreskole/status/826680285437820932	Allan L. Petersen	@Allanskoreskole	#ultratwitteragf pic.twitter.com/MFpHfqmS00	0	0	1485930913	
1. feb.	https://twitter.com/Lars_Ohlsen/status/826661432913690624	Lars Ohlsen	@Lars_Ohlsen	Så lukkede transfervinduet. 0 nye spillere til @AGFFodbold. Nå, vi har jo også et glimrende hold, som det er #ultratwitteragf #FTW q	0	0	1485926418	
31. jan.	https://twitter.com/aaberg04/status/826562446290776065	Thomas Poulsen	@aaberg04	Hold da op et vindue... kan næsten ikke få luft #ultratwitteragf	0	0	1485902818	
31. jan.	https://twitter.com/klausegelund/status/826543105314783237	Klaus Egelund	@klausegelund	Transfervindue ser ud til at være lukket i min del af verden. #ultratwitteragf opgiver at hente - og dermed nul scheel/SP rokade #transferdk	3	2	1485898207	
31. jan.	https://twitter.com/laianders/status/826540210838183938	Anders Lai	@laianders	Fandme godt nok et interessant og supervigtigt job #ultratwitteragf #agf #fuglebakkenkfum #klubsamarbejde http://www.agf.dk/talent/klubsamarbejde/stillingsopslag/ …	0	0	1485897517	
31. jan.	https://twitter.com/mortenwulff65/status/826539674684493830	Morten Wulff	@mortenwulff65	@AGFFodbold Fint nok, hvad så med os andre, der er skuffede hele året #ultratwitteragf #sldk #ironikanforekomme	1	0	1485897389	
31. jan.	https://twitter.com/AGFFodbold/status/826534523416539136	AGF	@AGFFodbold	Endnu en god dag går på hæld i Albufeira - og i dag havde vi oven i købet dansk vejr...http://www.agf.dk/klubben/nyhedsarkiv/2017/januar/god-modstander-skal-teste-defensiven/ … #ksdh #ultratwitteragf	4	0	1485896161	
31. jan.	https://twitter.com/MortenKock/status/826531700087853056	Morten Kock	@MortenKock	Taber @LFC IGEN i aften må være både #KvajeBajer & #SorryBeer på #Anfield næste gang, sådan gør rigtige hold nemlig #ultratwitteragf #LIVCHE	0	0	1485895488	
31. jan.	https://twitter.com/klausmors/status/826527104703557632	Klaus Mors	@klausmors	Kan vi nå at købe Jota fra Brentford? Han gør det godt #ultratwitteragf #BREAVL #pldk	0	0	1485894392	
31. jan.	https://twitter.com/StevenVistoftNi/status/826525001822117888	Steven Vistoft	@StevenVistoftNi	Slut På GF.s vindue ser det ud til. Det mest trælse vindue i langtid #ultratwitteragf	1	0	1485893891	
31. jan.	https://twitter.com/Dresenmand/status/826522623186259970	Andreas Tobiassen	@Dresenmand	Jeg er utålmodig! Hvis og hvis min røv er spids! Giv mig nu en signing, god dammit! #UltraTwitterAGF	3	0	1485893324	
31. jan.	https://twitter.com/Kjaerulff/status/826521769045585920	Kjærulff	@Kjaerulff	Hva så @shc2012 skal Responsable de la Communication på arbejde inden for de næste timer ? #ultratwitteragf	0	0	1485893120	
