tweetid;tweetid-href;tweetername;tweeterhandle;tweetbody;numberoflikes;numberofretweets;timeoftweet
26. feb. 2016;https://twitter.com/AarhusUni/status/703217526189236224;Aarhus Universitet;@AarhusUni;Liv Hornekær, lektor i Fysik #AarhusUni yderst t.v. til #Eliteforsk prisuddeling. Foto: @DitteValente.Tak! @UFM_FIpic.twitter.com/f4xeNv6aja;1;1;1456495098
25. feb. 2016;https://twitter.com/Emilgkristensen/status/702814136934256640;Emil Kristensen;@Emilgkristensen;Online marketing praktikanter? Hvor/hvordan finder jeg de skarpest hoveder i Aarhus? #dkjobs #aarhusuni #jobdk @AarhusUni @Aarhus_BSS;0;1;1456398922
24. feb. 2016;https://twitter.com/AarhusUni/status/702788477432287233;Aarhus Universitet;@AarhusUni;Der er ca. 4 mdr. til at #Aarhusuni og @rvAURORA rykker til klippeøen - men derfor kan vi godt glæde os til #fmdkhttps://twitter.com/allanflyvbjerg/status/702786520990818304 …;3;1;1456392804
24. feb. 2016;https://twitter.com/AarhusUni/status/702746949661937665;Aarhus Universitet;@AarhusUni;Et stort tillykke til alle de forskningsfrontløbere, der bliver hædret i dag #eliteforsk #aarhusuni #dkforskhttps://twitter.com/allanflyvbjerg/status/702733715387125760 …;7;0;1456382903
24. feb. 2016;https://twitter.com/Olefrank/status/702567140516372480;Ole Frank Nielsen;@Olefrank;God, men laaang dag på #AarhusUni. Get me home #Cardigans @kimbisgaard @UltraPedel @MOVETOMIND #elevermedtwitterpic.twitter.com/Fr6m45HPVu;0;0;1456340034
24. feb. 2016;https://twitter.com/caro_lundqvist/status/702527703698825216;Caroline H Lundqvist;@caro_lundqvist;Livet som AUstuderende kan formidles på mange måder. Sig endelig t (mig) hvis I selv v være ugeredaktør! #aarhusuni https://twitter.com/austudieliv/status/702493524600684544 …;2;1;1456330631
24. feb. 2016;https://twitter.com/CTL_AarhusBSS/status/702448066159185920;CTL Aarhus BSS;@CTL_AarhusBSS;Opret en live afsteming på under 20 sec med @Mentimeter. #aarhusuni http://bit.ly/1RmC2cn pic.twitter.com/UMYaIxiJ68;1;0;1456311644
23. feb. 2016;https://twitter.com/AarhusUni/status/702404006228992000;Aarhus Universitet;@AarhusUni;Morgenmøde i @Studentervaekst - #AarhusUni's studentervæksthus er netop startet m oplæg af @kimbisgaard #innovationpic.twitter.com/q62RNOeS45;5;0;1456301139
23. feb. 2016;https://twitter.com/VejrupJ/status/702104945680580608;Johanne V. N.;@VejrupJ;I 2016 kan man studere sprog på en ny måde - med fokus på kultur, globalisering og erhvervsliv #artsaudk #aarhusuni http://bit.ly/21nrZZi ;4;3;1456229838
22. feb. 2016;https://twitter.com/koefoed/status/701812467794518016;Lone Koefoed Hansen;@koefoed;Mandagsmiddag i matematisk. I #matkant #aarhusuni https://www.instagram.com/p/BCGJOCpG_Qv/ ;1;0;1456160106
